fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Labaszynski (auch Labaschinski), Joseph, 1802-1894 [BHR2],,,,,
Landau, Emil Elias, Dr., auch Elisaeus, geb. 26. April 1842 in Klasno-Wielitzka, Galizien, gest. 5. Juni 1924 in Weilburg a. d. Lahn [BHR2],
Landau, Ezechiel, Dr., auch Jecheskel / Jechiel L., geb. 1888 in Prag, gest. 20. Aug. 1965 in New York City, USA [BHR2],
Landau, Menachem-Mendel, gest. 1909 [BHR2],,,,,
Landau, Wolf, Dr., 1811-1886 [BHR2],,,,
Landsberg, Lewin, ca. 1799-1876 [BHR2],,,,,
Landsberg, Moritz, Dr., 1824-1882 [BHR2],,,,
Landsberg, Wilhelm, Dr., geb. 3. Juni 1844 in Wodzisław Śląski (Loslau), Oberschlesien (so nach Brann; nach dem akad. Lebenslauf: in Rybnik, O.-S.), gest. 16. April 1912 in Kaiserslautern [BHR2],
Landsberger, Julius, Dr., 1819-1890 [BHR2],,,,
Landsberger, Julius, Dr., 1821-1894 [BHR2],,,,
Lang, Élie, geb. 10. (o. 28.) Dez. 1817 in Sierentz, Oberelsaß, gest. 10. Aug. 1882 in Altkirch, Oberelsaß [BHR2],,
Lange, Bruno, Dr., geb. 13. Dez. 1891 in Elberfeld [BHR2],,,,
Lange, Gerson, Dr., geb. 27. Juli 1868 in Halberstadt, gest. 1923 in Frankfurt a. M [BHR2],,,
Lange, Isaak Michael, gest. 1880 [BHR2],,,,,
Lauer, Chaim, Dr., geb. 25. Aug. 1876 in Brzesko, Galizien (lt. Handbuch österr.; nach anderer Quelle: Bobowa, polnisches Galizien; nach einer Auskunft von Simon Lauer ist das genaue Geburtsdatum unbekannt), gest. 11. Aug. 1945 in Biel, Schweiz [BHR2]
Laupheimer, Friedrich Elias, Dr., geb. 26. Juli 1890 in Buchau, Schwaben, gest. 17. Jan. 1965 in Jerusalem [BHR2],,
Laupheimer, Jonas Jomtov, Dr., geb. 1. Juli 1846 in Laupheim, Württemberg, gest. 25. Jan. 1914 in Buchau am Federsee [BHR2],,
Lazard, Hirtz L., geb. 17. Jan. 1804 in Bergheim, Oberelsaß, gest. 8. Aug. 1883 in Bollwiller, Oberelsaß [BHR2],,
Lazarus, Arnold, Dr., geb. 9. April 1877 in Breslau, gest. 13. Juni 1932 in Frankfurt a. M [BHR2],,,
Lazarus, Felix, Dr., geb. 20. Aug. 1865 in Petershagen, Westfalen, gest. 1945 in London [BHR2],,
Lazarus, Leiser, Dr., 1822-1879 [BHR2],,,,
Lazarus, Paul, Dr., auch Pinhas L., geb. 30. Okt. 1888 in Duisburg-Hamborn, gest. 1. Jan. 1951 in Haifa [BHR2],,
Lazarus, Zacharie, geb. 25. Jan. 1829 in Schirrhoffen, Unterelsaß, gest. 29. Nov. 1897 in Westhoffen, Unterelsaß [BHR2],,
Lebrecht, Meyer, gest. 1894 [BHR2],,,,,
Lebrecht, Moses Meier, 1810-1897 [BHR2],,,,,
Lehmann, David, geb. 27. Mai 1804 in Straßburg, gest. 21. Dez. 1878 in Wintzenheim-Kochersberg, Unterelsaß [BHR2],,,
Lehmann, Joseph, Dr., geb. 27. Sept. 1872 in Warburg, gest. 8. Juni 1933 in Berlin an einem Herzschlag [BHR2],,,
Lehmann, Leopold, 1800-1880 [BHR2],,,,,
Lehmann, Markus, Dr., 1831-1890 [BHR2],,,,
Lehmann, Sylvain, Dr., auch Silvain L., geb. 22 (o. 23.) Juli 1875 in Guebwiller, Elsaß, gest. 5. Mai 1938 bei einem Verkehrsunfall mit dem Mofa in Bischwiller [BHR2],
Leimdörfer, David, Dr., geb. 17. Sept. 1851 in Hlinik, Ungarn, gest. 4. Nov. 1922 in Hamburg [BHR2],,
Lemle, Heinrich, Dr., auch Heiner/Henrique L., geb. 30. Okt. 1909 in Augsburg, gest. 22. Sept. 1978 in Rio de Janeiro, Brasilien [BHR2],
Lerner, Meier, Dr., geb. 10. März 1857 in Tschenstochau (Częstochowa), Polen, gest. 9. Juli 1930 in Altona [BHR2],,
Leschinski, Mordechai Joseph Halevi, 1808-1885 [BHR2],,,,,
Lesser, Wolf, Dr., geb. 4. Okt. 1845 in Kolberg (Kołobrzeg), gest. 11. Febr. 1882 [BHR2],,,
Levi b. Salomon, 1793-1878 [BHR2],,,,,,
Levi, Benedikt, Dr., 1806-1899 [BHR2],,,,
Levi, Harry Zwi, Dr [BHR2],,,,,
Levi, Joseph, Dr., geb. 13. (lt. Grabinschrift 18.) Febr. 1865 in Freudental, Württemberg, gest. 1. Juni 1930 in Krefeld [BHR2],,
Levi, L., geb. 1849, gest. 1907 [BHR2],,,,
Levi, Sali, Dr., auch Salomon L., geb. 2. Nov. 1883 in Walldorf, Baden, gest. 25. April 1941 in Berlin [BHR2],
Levy, Alfred, Dr., geb. 20. Febr. 1880 in Wingersheim, Unterelsaß, gest. 5. Febr. 1934 in Bonn [BHR2],,
Levy, Arthur, Dr., auch Shimon L., geb. 2. Juni 1881 in Hochfelden, Unterelsaß, gest. 21. Febr. 1961 in Kiryat Bialik, Israel [BHR2]
Levy, Emil Nathan, Dr. geb. 27. Okt. 1879 in Dambach, Unterelsaß, gest. 16. Aug. 1953 in Tel Aviv, Israel [BHR2],,
Levy, Harry Zwi, Dr., auch Levi, geb. 20. Jan. 1893 in Posen, gest. 1978 in Tel Aviv [BHR2],,
Lévy, Isaac, auch Lévi, geb. 20. Jan. 1835 in Marmoutier, Unterelsaß, gest. 4. Sept. 1912 in Paris [BHR2],,
Lévy, Isaak Albert, Dr., geb. 7. Dez. 1864 in Quatzenheim, gest. 20. Nov. 1921 in Brumath, Unterelsaß [BHR2],,
Lévy, Jeremias, Dr., franz. Jérôme L., geb. 20. Juli 1889 in Oberseebach, Unterelsaß, gest. 22. Nov. 1942 [BHR2],
Lévy, Joachim, auch Yauchéné L., Yohanan d’Obernai, geb. 5. Juli 1808 in Minversheim, Unterelsaß, gest. 1. März 1894 in Obernai, Unterelsaß [BHR2]
Lévy, Joseph, geb. 14. Nov. 1799 in Sarre-Union (Saar-Union), Unterelsaß, gest. 5. Juli 1879 ebd [BHR2],,,
Lévy, Judas, auch Levi, auch Leopold L., geb. 1803/04, gest. 20. Apr. 1876 in Quatzenheim, 72 Jahre alt [BHR2],
Lévy, Marc, Dr., auch Marx L., geb. 30. Mai 1842 in Quatzenheim, Unterelsaß, gest. 23. Okt. 1926 in Metz [BHR2],
Levy, M., Dr [BHR2],,,,,
Lévy, Naphtali, geb. 24. Juni 1837 in Romanswiller, Unterelsaß, gest. Aug. 1908 in Langenbrücken, Baden, auf einer Kur-Reise [BHR2],
Lévy, Naphtali, auch Henri L., gest. 1909 [BHR2],,,,
Lévy, Salomon, geb. 4. o. 5. Jan. 1818 in Marckolsheim, Unterelsaß, gest. 14. Jan. 1885 in Brumath, Unterelsaß [BHR2],,
Lévy, Samson, geb. 10. Febr. 1806 in Bischheim, Unterelsaß, gest. 27. Jan. 1873 in Mutzig, Unterelsaß [BHR2],,
Lévy, Samuel, geb. 22. April 1815 in Bollwiller, Oberelsaß, gest. März 1875 [BHR2],,,
Lévy, Seligmann Naphtali, geb. 18. Okt. 1835 in Niedernai (Niederehnheim), Unterelsaß, gest. 11. Dez. 1914 in Paris [BHR2],,,
Lévy, Simon, geb. 11. Dez. 1838 in Balbronn, Unterelsaß, gest. 4. Okt. 1898 in Schirrhoffen, Unterelsaß [BHR2],,
Lewin, Dr [BHR2],,,,,,
Lewin, Adolf, Dr., 1843-1910 [BHR2],,,,
Lewin, Alexander, Dr., geb. 5. Okt. 1888 in Rußland, verschollen 1942 in Auschwitz [BHR2],,,
Lewin, Gabriel Hirsch [BHR2],,,,,,
Lewin, Louis, Dr., geb. 29. Dez. 1868 in Żnin, Posen, gest. 22. Dez. 1941 in Tel Aviv [BHR2],,
Lewin, Moritz, Dr., 1843-1914 [BHR2],,,,
Lewin, Moses, Dr., geb. 10. März 1870 in Janowitz, Posen [BHR2],,,
Lewin, Reinhold, Dr., geb. 3. April 1888 in Magdeburg, gest. März 1943 in Auschwitz [BHR2],,,
Lewin, S., gest. nach 1885 [BHR2],,,,,
Lewin, Salomon [BHR2],,,,,,
Lewinsky, Abraham, Dr., geb. 1. März 1866 in Loslau (Wodzisław Śląski), Oberschlesien, gest. 1941 in Mainz [BHR2],,
Lewinsohn, M [BHR2],,,,,,
Lewit, Julius, Dr., geb. 26. Febr. 1866 in Samter (Szamotuły), Posen, gest. 23. Feb. 1934 in Alzey, Rheinhessen [BHR2],
Lewkowitz, Albert, Dr., geb. 1883 in Georgenberg (Miasteczko Śląskie), Oberschlesien, gest. 1954 in Haifa [BHR2],,
Lewkowitz, Julius, Dr., geb. 2. Dez. 1876 in Georgenberg (Miasteczko Śląskie), Oberschlesien, verschollen 1943 in Auschwitz [BHR2],,
Lewy, Israel, Prof. Dr., geb. 7. Jan. 1841 in Hohensalza (Inowrocław), Posen, gest. 8. Sept. 1917 in Breslau [BHR2],,
Lewy, Wilhelm Ephraim, Dr., auch Seev o. Wolf L. geb. 28. November 1876 in Berlin, gest. 14. Februar 1949 in Kalifornien, USA [BHR2],,
Liberels, Moses Elieser, 1824-1872 [BHR2],,,,,
Lichtenstein, Ascher-Anschel, 1808-1884 [BHR2],,,,,
Lichtig, Arje Leopold, Dr., auch Lipót L., geb. 17. März 1873 in Kaschau (Košice) [BHR2], Ungarn [lt. Immatr.-Verz. Univ. Bern, Nr. 9328, WS 1899/1900: 4. März 1870 in Feketepatak
Liebermann, Arthur, Dr., urspr. A. Czukor, geb. 21. Sept. 1870 in Ricse, Ungarn, gest. 1950 in Ra’anana, Israel [BHR2]
Liebreich, A [BHR2],,,,,,
Lindermann, Simon, geb. 1827 [BHR2],,,,,
Link, Samuel Wolf, Dr., auch Willi L., geb. 27. Dez. 1871 in Neutra (Nitra), Slowakei, gest. in Baltimore, MD/US [BHR2]
Lipschütz, Oskar, Dr., 1847-1919 [BHR2],,,,
Littmann, Martin, Dr., geb. 1864 in Bischofswerder, Westpreußen, gest. 1946 in Zürich [BHR2],,
Löb, Herrmann, Dr., geb. 9. März 1884 in Bruchsal, Baden, gest. 1962 in Göteborg [BHR2],,
Löb, Jonas Zwi Hermann, Dr., geb. 10. Sept. 1849 in Pfungstadt, Hessen, gest. 3. Juni 1911 im Hospital in Berlin [BHR2],,
Löb, Lazarus, Dr., 1835-1892 [BHR2],,,,
Lövy, S [BHR2],,,,,,
Löwenmayer, Maier, Dr., 1813-1895 [BHR2],,,,
Löwenmayer, Maier, Dr., 1827-1893 [BHR2],,,,
Löwenstamm, Arthur L., Dr., geb. 20. Dez. 1882 in Ratibor, Oberschlesien, gest. 1965 in einem Altenheim in Manchester [BHR2],,
Löwenstein, Egon Israel, geb. 2. Okt. 1912 in Berlin, gest. Anfang November 19?? (nach 1987) in Jerusalem (o. Chile?) [BHR2],,,,
Löwenstein, Leopold, Dr., geb. 1. Dez. 1843 in Gailingen, Baden, gest. 16. Dez. 1923 in Mosbach, Bez. Darmstadt [BHR2],
Löwenthal, Abraham Albert, Dr., geb. 30. Juni 1868 in Posen, gest. 2. Mai 1928 in Berlin [BHR2],,,
Löwenthal, Hans Gabriel, geb. 26. Mai 1912 in Berlin, gest. 1942 in Theresienstadt o. 1942/43 in Auschwitz [BHR2],,,,
Loewy, Jacob Isaac, gest. 1./2. Dez. 1930 in Berlin [BHR2], auch Lövy, Loevy, Löwy oder Levy, geb. 15. Juli 1860 in Ortelsburg (Szczytno)  [BHR2], Ostpreußen
Löwy, S., auch S. Lövy, geb. 1885 in Wien, gest. 1968 in Ra’anana, Israel [BHR2],,
Lorge, Moritz, Dr. geb. 6. Okt. 1874 in Harmuthsachsen, Kr. Eschwege, gest. 1948 in New York [BHR2],,,
Lorsch, Julius, Dr., geb. 1881 in Alsfeld, Hessen, gest. 23. April 1919 in Frankfurt a. M [BHR2],,
Lubasch, Lothar, Dr., geb. 17. Mai 1896 in Berlin, gest. Juli 1976 in Lauderdale, FL [BHR2],,
Lubliner, Manfred, Prof. Dr., geb. 16. Febr. 1910 in Halle, gest. 11. Aug. 1991 in Berlin [BHR2],,,
Lucas, Leopold, Dr., geb. 18. Sept. 1872 in Marburg, gest. 13. Sept. 1943 in Theresienstadt [BHR2],,,
Maier, Joseph [von], Dr., 1797-1873 [BHR2],,,,
Mannes, Salomon, Dr., auch S. Manes, geb. 11. April 1871 in Wreschen (Września), Posen, gest. 1960 in Israel [BHR2],
Mannheimer, David, Dr., geb. 5. Dez. 1863 in König, Hessen-Darmstadt, gest. 18./19. Aug. 1919 in Bad Kissingen während eines Kuraufenthalts [BHR2],,
Margulies, Samuel Hirsch, Dr., geb. 9. Okt. 1858 in Brzezany, Galizien, gest. 12. März 1922 in Florenz [BHR2],,
Marx, Lehmann, Prof. Dr., auch Oscher M., geb. 14. Mai 1846 in Strümpfelbrunn, Baden, gest. 22. Okt. 1925 in Darmstadt [BHR2],
Marx, Moses, Dr., geb. 10. (lt. Vita: 4.) Nov. 1876 in Darmstadt, gest. 10. Jan. 1924 in Darmstadt [BHR2],,,
Marx, Victor, Dr., geb. 10. Oktober 1872 in Homburg v. d. H., gest. 25. Febr. 1944 in Périgueux [BHR2],,,
Maybaum, Ignaz, Dr., geb. 2. März 1897 in Wien, gest. 12. März (Juni?) 1976 in London [BHR2],,,
Maybaum, Siegmund, Prof. Dr., geb. 29. Apr. 1844 in Miskolc, Ungarn, gest. 31. Juli 1919 in Berlin [BHR2],,
Mayer, Baruch, Dr., geb. 1. März 1845 in Müllheim, Baden, gest. 2. Febr. 1927 in Bühl, Baden [BHR2],
Mayer, Eugen, Dr [BHR2],,,,,
Mayer, Isak (Jack), Dr [BHR2],,,,,
Mayer, Israel, Dr., 1843-1898 [BHR2],,,,
Mayer, Samuel, Dr., 1807-1875 [BHR2],,,,
Mehler, Ludwig Jakob, geb. 4. Mai 1907 in Berlin, gest. 10. Apr. 1945 in Bergen-Belsen [BHR2],,,,
Melchior, Marcus Lazarus, Dr., geb. Mai 1897 in Fredericia, Dänemark, gest. 1969 auf einer Reise in Hamburg [BHR2],,
Merzbach, Julius Jona, Dr., geb. 15. Okt. 1900 in Berlin, gest. 28. Sept. 1980 in Jerusalem [BHR2],,,
Messing, Joseph, 1812-1880 [BHR2],,,,,
Metzger, Kurt Leo, Dr., geb. 10. Dez. 1909 in Nürnberg, gest. März 1992 in Monroe, Orange, NY/US [BHR2],
Meyer, Akiba E. L., geb. 9. Febr. 1859 in Bauske, Kurland, gest. 27. Apr. 1930 in Karlsruhe [BHR2],,,
Meyer, Benjamin, Dr., geb. 30. Juni (Jan.?) 1867 in Schwindratzheim b. Straßburg, Elsaß, gest.15. Jan 1934 in Straßburg [BHR2],,
Meyer, Eugen, Dr., auch E. Mayer, geb. 23. Juni 1867 in Ingenheim, Pfalz, gest. 21. April 1930 in Zweibrücken [BHR2],
Meyer, Hans Chanoch, Dr., geb. 3. Okt. 1909 in Krone a. d. Brahe (Koronowo), Posen, gest. 21. Mai 1991 in Dortmund [BHR2],,
Meyer, Heinz, geb. 25. Aug. 1907 in Berlin, ermordet 27. Jan. 1945 in Dachau [BHR2],,,,
Meyer, Israel, Dr., 1843-1898 [BHR2],,,,
Meyer, Samuel, Dr., auch: Salomon-Ephraim M., 1819-1882 [BHR2],,,
Meyer, Seligmann, Dr., geb. 12. Okt. 1853 in Reichelsheim, Odenwald, gest. 31. Dez. 1925 in Regensburg [BHR2],,
Michalski, Jacob Abraham Jechiel, Dr., auch Julius M., geb. 12. Aug. 1889 in Berlin, gest. 15. Febr. 1961 in Tel Aviv [BHR2],,
Mislowitzer, A., Dr [BHR2],,,,,
Mook, Salomon, geb. 19. Mai 1833 in Froeschwiller, gest. 31. Dez. 1898 in Mulhouse, Oberelsaß [BHR2],,,
Morhange, Louis, Dr., geb. 16. Juli 1804 in Metz, gest. 15. Mai 1888 in Metz [BHR2],,,
Moses, Jisroel Baruch, auch Jisroel Joseph, gest. 1899 [BHR2],,,,
Moses, Juda Lewin [BHR2],,,,,,
Mühlfelder, Joseph Jakob, Dr., geb. 18. Sept. 1844 in Bauerbach, Sachsen-Meiningen, gest. 16. Jan. 1907 in Chemnitz [BHR2],,
Münz, Isak, Dr., auch Ignatz M., geb. 15. Dez. 1857 in Tarnow, gest. 1938 in Tel Aviv [BHR2],,
Münz, Lasar, Dr., auch Elasar S. Arie Löb M., geb. 2. Mai 1837 in Tarnow, gest. 4. Jan 1921 in Ansbach [BHR2],,
Mugdan, Abraham, geb. 1848 in Kempen (Kępno), Posen, gest. 23. Jan. 1927 in Berlin [BHR2],,,
Munk, Eli, Dr., auch Elias / Eliyahu M., geb. 11. April 1900 in Königsberg, Ostpreußen, gest. 7. März 1978 in Jerusalem [BHR2],
Munk, Elias, 1818-1899 [BHR2],,,,,
Munk, Elie, Dr., geb. 15. Sept. 1900 in Paris, gest. Juni 1981 in New York [BHR2],,,
Munk, Esra, Dr., auch Esriel Hakohen M., geb. 25. Nov. 1867 in Altona, gest. 2. Nov. 1940 in Jerusalem [BHR2],,
Munk, Leo, Dr., geb. 23. Okt. 1851 in Altona, Holstein, gest. 2. Febr. 1917 im jüdischen Krankenhaus in Frankfurt a. M [BHR2],,
Munk, Michael L., Dr., auch Yechiel Aryeh M., geb. 23. Apr. 1905 in Berlin, gest. 1984 in Jerusalem [BHR2],,
Munk, Rafael Saul, Dr., auch Shalom M., geb. 30. Jan. 1899 in Lemberg (Ľvov), Galizien, gest. 2. Juli 1969 in Ra’anana, Israel [BHR2]
Nager, Abraham, Dr., 1831-1886/87 [BHR2],,,,
Naschér, Simon, Dr., 1842-1901 [BHR2],,,,
Nathan, Nathan Max, Dr., geb. 15. Juli 1879 in Emmerich, gest. 23. Okt. 1944 in Auschwitz [BHR2],,,
Nathansohn, Chaim, 1814-1878 [BHR2],,,,,
Neckarsulmer, Juda Wolf, 1800-1880 [BHR2],,,,,
Nellhaus, David Dagobert, Dr., geb. 2. Jan. 1891 in Breslau, gest. Sept. 1980 in Roslindale, MA/US [BHR2],,
Netter, Nathan, Dr., geb. 5. Jan. 1866 in Niedernai (Niederehnheim), Unterelsaß, gest. 15. Dez. 1959 in Metz [BHR2],,
Neubauer, Jakob Jekuthiel, Dr., geb. 29. Jan. 1895 in Leipzig, gest. 22. März 1945 in Bergen-Belsen [BHR2],,,
Neubürger, Jacob Immanuel, Dr., auch Emanuel N., geb. 12. Apr. 1847 in Öttingen, Bayerisch-Schwaben, gest. März 1922 in Fürth [BHR2],
Neuhaus, Leopold, Dr., geb. 18. Jan. 1879 in Rothenburg a. d. Fulda, gest. 10. Mai 1954 in Detroit, MI/US [BHR2],,
Neuhaus, Ralph, geb. 21. April 1909 in Ostrowo (Ostrów Wielkopolski), Posen, gest. 19. Juni 1990 in New York [BHR2],,,
Neumark, Manass, Dr., geb. 19. Mai 1875 in Posen-Stadt, gest. 21. Okt. 1942 in Theresienstadt [BHR2],,,
Neustadt, Pinkus, Dr., 1823-1902 [BHR2],,,,
Neuwirth, Aharon, Dr., geb. 1881 in Alistal [WO??? jewishgen% Ungarn?], gest. „19. Schewat 1958“ [8./9. Febr. 1958] in Bne Brak, Israel [BHR2],,
Neuwirth, Samuel, Dr., geb. 17. Dez. 1867 in Šarišské Lúky (Sebeskellemes), Slowakei [auch 1867? >>jewishgen?!!], gest. 11. März 1941 in Stuttgart [BHR2],,
Nischkowski, Dr., geb. 1853 in Suwałki, Podlachien, gest. 8. Nissan (3./4. April) 1933 in Königsberg i. Preußen [BHR2],,,
Nobel, Israel, Dr., geb. 9. Juli 1878 in Tata (Totis), Ungarn, gest. April 1962 in Jerusalem [BHR2],,
Nobel, Joseph, Dr., geb. 2. Dez. 1837 in Tata (Totis), Ungarn, gest. 28. Elul 1917 in Halberstadt, Sachsen [BHR2],
Nobel, Nehemia Zwi Anton, Dr., geb. 8. Nov. 1871 in Nagyatád, Ungarn, gest. 24. Jan. 1922 in Frankfurt a. M [BHR2],,
Norden, Chaim, gest. 1872 [BHR2],,,,,
Norden, Joseph, Dr., geb. 17. Juni 1870 in Hamburg, gest. 7. Febr. 1943 in Theresienstadt [BHR2],,,
Nordheimer, Viktor, Dr., geb. 1857, gest. 2. Mai 1911 in Schwetz (Świecie), Westpreußen [BHR2],,
Nordmann, Moïse, geb. 20. Sept. 1809 in Hégenheim, Oberelsaß, gest. 24. April 1884 in Basel [BHR2],,,
Nussbaum, Max, Dr., auch Mosche N., geb. 4. April 1910 in Suczawa, Bukowina, gest. 20. Juli 1974 in Hollywood, CA/US [BHR2]
Oberdorfer, Jakob, 1807-1884 [BHR2],,,,,
Oberländer, Kurt, geb. 7. Juli 1913 in Odenkirchen, gest. 28. April 1943 in Auschwitz [BHR2],,,,
Ochs, David, Dr., geb. 8. Dez. 1904 in Köln, gest. 3. Okt. 1974 in Tel Aviv [BHR2],,,
Ochs, Samuel Moses, Dr., geb. 1886 in Zborów (Zboriv), Galizien, gest. 1942 in London [BHR2],,
Olitzki, Markus, Dr., geb. März 1859 in Alytus (Olita), Litauen, gest. 1920 in Allenstein (Olsztyn), Ostpreußen. [BHR2],
Oppenheim, Gustav, Dr., geb. 27. Aug. 1862 in Eschwege, Hessen, gest. 23. März 1940 in Sydney, Australien [BHR2],
Oppenheim, Joachim Heinrich, Dr., 1832-1891 [BHR2],,,,
Oppenheim, Juda, 1800-1878 [BHR2],,,,,
Oppenheimer, Julius, Dr., geb. 7. Mai 1827 in Uslar, Niedersachsen, gest. 21. Aug. 1909 in Berlin [BHR2],,
Ohrenstein, Aron, Dr., geb. 1909 in Tarnopol (Ternopiľ), Galizien, gest. 1986 [BHR2],,
Ostfeld, Hermann, Dr., 1951 Namensänderung: Zwi Hermon, geb. 10. Febr. 1912 in Duisburg-Hamborn [BHR2],,,
Peritz, Curt, Dr., geb. 1. Nov. 1898 in Breslau, gest. April 1975 in Chicago [BHR2],,,
Perles, Felix, Prof. Dr., geb. 18. März 1874 in München, gest. 1933 in Königsberg [BHR2],,,
Perles, Joseph, Dr., 1835-1894 [BHR2],,,,
Perlitz, Gabriel Gustav, Dr., geb. 1839 in Smichow bei Prag (Prag-Smíchov), gest. Dez. 1916 in Nakel (Nakło nad Notecią), Posen [BHR2],,
Petuchowski, Marcus Salomon, Dr., geb. 10. Febr. 1866 in Nowgorod bei Wilna, gest. 29. Okt. 1926 in Berlin an Herzversagen [BHR2],,,
Pfingst, Gustav, Dr., geb. 12. Juni 1900, gest. Juli 1957 in Aberdeen, Schottland [BHR2],,
Philipp, Alfred Ahron, Dr., geb. 24. Febr.1904 in Bochum, gest. 17. Juli 1970 in Jerusalem [BHR2],,,
Picard, Eliakim, 1822-1903 [BHR2],,,,,
Pick, Jakob, 1824-1886 [BHR2],,,,,
Pick, Ludwig, Dr., geb. 27. Sept. 1843 [1848? Bei der Bewerbung in Altona 1891 gibt er an, er sei 42 J. alt] in Komorn (Komárom/Komárno), Österreich-Ungarn, gest. 29. Mai 1937 in Berlin [BHR2],
Pick, Seligmann, Dr., geb. 19. Juli 1863 Crone a. d. Brahe (Koronowo), Posen, gest. 16. Febr. 1928 in Berlin-Pankow [BHR2],,
Pincoffs, Ludwig (Elieser), Dr., geb. 8. Sept. 1884 in Berlin, gest. in Ramat Gan, Israel [BHR2],,
Pinkuss, Fritz, Dr., romanisiert Frederico P., geb. 13. Mai 1905 in Egeln, Sachsen-Anhalt [BHR2],,
Pinkuss, Hermann Israel, Dr., geb. 30. Sept. 1867 in Nikolai (Mikołów), Oberschlesien, gest. 26. Juni 1936 in Frankfurt a. M [BHR2],,
Plato, Hirsch, Dr., 1822-1910 [BHR2],,,,
Plato, Immanuel, Dr., geb. 6. Dez. 1863 in Karlsruhe, gest. Juli 1937 in Hamburg [BHR2],,,
Plaut, Rudolf, Dr., 1843-1914 [BHR2],,,,
Plessner, Elias, geb. 10. Febr. 1841 in Berlin, gest. 30. März 1898 in Ostrowo (Ostrów Wielkopolski), Posen [BHR2],,,
Plotke, Fritz David, Dr., auch Plocke o. Plottke, in den USA: Frank D. Plotke, geb. 7. Juni 1906 in Berlin, gest. 28. Nov. 1994 in Florida [BHR2], USA (SSDI: 2. Dez. 1994 in Grifftith
Poliatschek, Moïse, geb. 1885 in Lydda, Rußland [BHR2],,,,
Popper, Salomon, Dr., 1819-1891 [BHR2],,,,
Porges, Nathan, Prof. Dr., geb. 21. Dez. 1848 in Proßnitz (Prostějov), Mähren, gest. 27. Aug. 1924 in Würzburg [BHR2],,
Posen, Gerson, geb. 1852, gest. in der Nacht zum Rüsttag des Sukkotfestes 1932 in Frankfurt a. M. „an einer Erkältung, die er sich bei der Teilnahme an einer Beerdigung zugezogen hatte, im fast vollendeten 80. Lebensjahre“ (IFH) [BHR2],,
Posen, Jacob S., gest. März 1925 in Frankfurt a. M [BHR2],,,,,
Posner, Arthur Bernhard, Dr., hebr. Akiva Baruch P., geb. 16. Nov. 1890 in Samter (Szamotuły), Posen, gest. 6. Mai 1962 in Jerusalem [BHR2],
Posner, Salomon, Dr., geb. 10. März 1866 in Konin, Polen (nach der Vita in Kippenheim, Baden), gest. 15. Okt. 1942 in Netanya, Israel [BHR2]
Prager, Isaac Emil, Dr., geb. 7. Juni 1847 (lt. Vita 1849) in Lendzin (Lędziny), Oberschlesien, gest. 7. Okt. 1905 in Kassel [BHR2],,
Prijs, Joseph Akiba, Dr., geb. 30. Mai 1889 in Würzburg, gest. 9. Okt. 1956 in Basel [BHR2],,,
Prinz, Joachim, Dr., geb. 10. Mai 1902 in Burkhardsdorf (Bierdzan), Oberschlesien, gest. 30. Sept. 1988 in New York City, USA [BHR2],
Prys, Joseph Akiba, Dr [BHR2],,,,,
Pulvermacher, Jesaja-Schaje, 1792-1874 [BHR2],,,,,
Rabin, Israel Abraham, Prof. Dr., geb. 18. Okt. 1882 in Proskurow (Chmelnizki), Ukraine; gest. 1951 in Haifa [BHR2],,,
Rabinow, Samuel Josef, eng. Shmuel Yosef Rabinov, geb. 1889 in Kowno (Kaunas), Litauen, gest. 1963 in Bne Brak, Israel [BHR2],
Rahmer, Moritz, Dr., 1837-1904 [BHR2],,,,
Raphael, Philipp, Dr., 1822-1872 [BHR2],,,,
Rau, David, Dr., geb. 1861 in Preußisch-Friedland (Debrzno), gest. März 1911 in Pless (Pszczina), Oberschlesien [BHR2],,
Rawicz, Victor Meyer, Dr., geb. 19. Aug. 1846 in Breslau, gest. 10. Okt. 1915 in Berlin [BHR2],,,
Rawitsch, Victor Meyer, Dr [BHR2],,,,,
Rebhun, David [BHR2],,,,,,
Rehfisch, Jakob Simcha, 1804-1877 [BHR2],,,,,
Reiss, Moses, 1802-1878 [BHR2],,,,,
Richter, Karl, Dr., geb. 31. Okt. 1910 in Stuttgart, gest. 25. Sept. 2005 in Tampa, Hillsborough, FL/US [BHR2],
Richter, Salomon, Dr., geb. 1853 in Csekö, Ungarn, gest. 12. Febr. 1906 in Filehne (Wieleń), Posen [BHR2],
Rieger, Paul, Dr., geb. 4. Juli 1870 in Dresden, gest. 10. Juli 1939 in Stuttgart [BHR2],,,
Rippner, Benjamin, Dr., geb. 1842 in Lissa, Posen, gest. 27. Nov. 1898 in Glogau, Schlesien [BHR2],
Ritter, Bernhard Löbel, Dr., geb. 5. März 1855 in Reinersdorf, Oberschlesien, gest. 1935 in Rotterdam [BHR2],,
Ritter, Immanuel Heinrich, Dr., 1825-1890 [BHR2],,,,
Rogosnitzky, Moses, geb. 10. Juli 1884 in Nalibocki (Naliboki), Weißrußland [BHR2],,,,
Roller, Eisig, auch Isaac Ajzik R., geb. 1825 in Komorn (Komárno), Österr. Ungarn, gest. 26. Juli 1900 in Barr, Unterelsaß [BHR2],
Roos, Kaufmann, 1805-1876 [BHR2],,,,,
