Name,ID,GND
ETTLINGER - Löb ,391,NA
FABELLE - David ,392,http://d-nb.info/gnd/1071243071
FAHRENBACH - Abraham ,393,NA
FAHRENBACH - Henoch Joseph - Dr. - auch Heinrich F. ,394,http://d-nb.info/gnd/-
FALK - Jakob Löbel (hebr. Jakob Juda-L.) - gen. „Reb Falek“ ,395,NA
FALK - Josua ,396,http://d-nb.info/gnd/1072492547
FALKENAU - Hirsch ,397,NA
FALKENAUER - Josua Moses ,398,http://d-nb.info/gnd/-
[FALKENFELD -] Joseph - gen. „Ha-S. addiq“ ,399,http://d-nb.info/gnd/1073880796
[FALKENFELD -] Moses Samuel ,400,http://d-nb.info/gnd/1076058493
FALKENHEIM - Isaak - Dr. ,401,http://d-nb.info/gnd/1034725823
FANTO - Elieser Mendl ,402,http://d-nb.info/gnd/1076031323
FASSEL - Hirsch Bär ,403,http://d-nb.info/gnd/133963586
FEDER - Josef Leib (hebr. Josef Juda-L.) ,404,http://d-nb.info/gnd/1075076560
FEIBELMANN - Josua ,405,http://d-nb.info/gnd/1083813633
FEIBELMANN - Simon ,406,http://d-nb.info/gnd/1076031811
FEIGE - Mannes - hebr. Jochanan ,407,http://d-nb.info/gnd/107187201X
FEILBOGEN - Benjamin - Dr. ,408,http://d-nb.info/gnd/1075212235
FEILBOGEN - Jakob Hirsch - auch J. BIACH ,409,http://d-nb.info/gnd/107521291X
FEILBOGEN - Josef ,410,http://d-nb.info/gnd/1071870122
FEILBOGEN - Moses-Samuel ,411,http://d-nb.info/gnd/1076031684
FEILCHENFELD - Gabriel Fabian - Dr. ,412,http://d-nb.info/gnd/127975993
FEILCHENFELD - Wolf - Dr. ,413,http://d-nb.info/gnd/139787542
FEIN - Moritz - Dr. ,414,http://d-nb.info/gnd/1083816063
FEIVEL - Raphael ,415,NA
FELDBLUM - Salomon ,416,http://d-nb.info/gnd/108381446X
FELLHEIM - Jakob ,417,NA
FELSENHELD - Hermann - aus Untermerzbach im Grabfeld - Unterfranken ,418,NA
FELSENSTEIN - Samson ,419,NA
FELSENTHAL - Bernhard - Dr. h. c. ,420,http://d-nb.info/gnd/136828884
FERNBACH - Josef ,421,http://d-nb.info/gnd/1083813854
FERNBACH - Lazarus Levin ,422,http://d-nb.info/gnd/1076056539
FERNBACH - Löb (hebr. Juda-L.) - bürgerlich Levin ABRAHAM ,423,NA
FERNBACH - Löbel ,424,http://d-nb.info/gnd/1083815369
FERNBACH - Nathan-Neta ,425,http://d-nb.info/gnd/1083814958
FEUCHTWANG - Meyer - Dr. ,426,http://d-nb.info/gnd/1075558964
FEUCHTWANGEN - Schemajo-Jischai ,427,NA
FINK - Ruben ,428,http://d-nb.info/gnd/1076058906
FISCHELS - Löb ,429,http://d-nb.info/gnd/1073952193
FISCHER - Bernard - Dr. ,430,http://d-nb.info/gnd/173747167
FISCHER - Markus ,431,http://d-nb.info/gnd/1082789534
FISCHER - Moses ,432,http://d-nb.info/gnd/1075213827
FISCHL - Isak ,433,NA
FISCHMANN - Abraham - genannt A. LIBESCHITZ ,434,http://d-nb.info/gnd/1068407352
FISCHMANN - Jecheskel-Moses ,435,NA
FLAMM - Aron Simon ,436,NA
FLECKELES - Eleasar ,437,http://d-nb.info/gnd/136491766
FLEGENHEIMER - Heyum - bürgerlich Heyum SIMON ,438,NA
FLEGENHEIMER - Simon Lazarus ,439,NA
FLEHINGER - Baruch Hirsch ,440,NA
[FLEHINGER -] Isak ,441,http://d-nb.info/gnd/-
FLEHINGER - Veit ,442,http://d-nb.info/gnd/1012263649
FLEISCH - Moses Hirsch ,443,http://d-nb.info/gnd/1076031560
FLESCH - Salomon ,444,http://d-nb.info/gnd/1075939402
