fn,ln,geb,gest,BHR
Emrich,Koppel. ,,,BHR1
Emrich,Salman,1713,1794,BHR1
Engelbert,Hermann,1830,1900,BHR1
Engelbert,Moses,1830,1891,BHR1
Enoch,Samuel David,1814,1876,BHR1
Epstein,Elias,1750,1826,BHR1
Epstein,Joseph,1759,1823,BHR1
Epstein,Moses,,,BHR1
Epstein,Pelta Moses,1745,1821,BHR1
Erlangen,Israël,1790,1867,BHR1
Ettinger,Isaak-Joseph,,1865,BHR1
Ettlinger,Aaron Mayer,1769,1849,BHR1
Ettlinger,Jakob,1798,1871,BHR1
Ettlinger,Löb,1803,1883,BHR1
Fabelle,David. ,,,BHR1
Fahrenbach,Abraham,1767,1845,BHR1
Fahrenbach,Henoch Joseph,1810,1872,BHR1
Falk,Jakob Löbel (hebr. Jakob Juda-L.),1760,1838,BHR1
Falk,Josua,,1873,BHR1
Falkenau,Hirsch,1806,,BHR1
Falkenauer,Josua Moses,1774,1829,BHR1
Falkenfeld,Joseph,1736,1801,BHR1
Falkenfeld,Moses Samuel,,1806,BHR1
Falkenheim,Isaak,1826,1902,BHR1
Fanto,Elieser Mendl,,1790,BHR1
Fassel,Hirsch Bär,1802,1883,BHR1
Feder,Josef Leib(hebr. Josef Juda-L.),,1876,BHR1
Feibelmann,Josua,,1806,BHR1
Feibelmann,Simon,1775,1842,BHR1
Feige,Mannes,1800,1877,BHR1
Feilbogen,Benjamin,1824,1914,BHR1
Feilbogen,Jakob Hirsch,1751,1831,BHR1
Feilbogen,Josef,1784,1869,BHR1
Feilbogen,Moses-Samuel,,1886,BHR1
Feilchenfeld,Gabriel Fabian,1827,1910,BHR1
Feilchenfeld,Wolf,1827,1913,BHR1
Fein,Moritz,1820,,BHR1
Feivel,Raphael. ,,,BHR1
Feldblum,Salomon. ,,,BHR1
Fellheim,Jakob,,,BHR1
Felsenheld,Hermann,,,BHR1
Felsenstein,Samson,1805,1882,BHR1
Felsenthal,Bernhard,1822,1908,BHR1
Fernbach,Josef. ,,,BHR1
Fernbach,Lazarus Levin,,1829,BHR1
Fernbach,Löb (hebr. Juda-L.),,1794,BHR1
Fernbach,Löbel. ,,,BHR1
Fernbach,Nathan-Neta. ,,,BHR1
Feuchtwang,Meyer,1814,1888,BHR1
Feuchtwangen,Schemajo-Jischai,,1813,BHR1
Fink,Ruben,,1900,BHR1
Fischels,Löb,1732,1808,BHR1
Fischer,Bernard,1821,1906,BHR1
Fischer,Markus. ,,,BHR1
Fischer,Moses,1757,1833,BHR1
Fischl,Isak. ,,,BHR1
Fischmann,Abraham,,1829,BHR1
Fischmann,Jecheskel-Moses. ,,,BHR1
Flamm,Aron Simon,1834,1865,BHR1
Fleckeles,Eleasar,1754,1826,BHR1
Flegenheimer,Heyum,,,BHR1
Flegenheimer,Simon Lazarus,1723,1793,BHR1
Flehinger,Baruch Hirsch,1809,1890,BHR1
Flehinger,Isak,1736,1818,BHR1
Flehinger,Veit,1769,1854,BHR1
Fleisch,Moses Hirsch,,1862,BHR1
Flesch,Salomon,1750,1832,BHR1
Flussmann,Samuel,,1848,BHR1
Formstecher,Salomon,1808,1889,BHR1
Frank,Abraham,1839,1917,BHR1
Frank,Daniel,1796,1860,BHR1
Frank,Hirsch,,1788,BHR1
Frank,Israel,1804,1871,BHR1
Fränkel,Abraham,,1820,BHR1
Fränkel,Daniel,1821,1890,BHR1
Fränkel,Eisemann,1781,1855,BHR1
Fränkel,Isaak-Seckel,,1815,BHR1
Fränkel,Jacob,1814,1882,BHR1
Fränkel,Joseph,,1799,BHR1
Fränkel,Joseph Jonas,1721,1793,BHR1
Fränkel,Josua. ,,,BHR1
Fränkel,Levi,1765,1815,BHR1
Fränkel,Moses,1739,1812,BHR1
Fränkel,Moses,1747,1817,BHR1
Fränkel,Moses Schalom,,1828-1806,BHR1
Fränkel,Samuel,,1878,BHR1
Fränkel,Seligmann,1762,1841,BHR1
Frankel,Zacharias,1801,1875,BHR1
Frankenstein,Simon,1805,1888,BHR1
Frankfurt,Seligmann,,1789,BHR1
Frankfurter,Feibisch,1762,1841,BHR1
Frankfurter,Josef,1801,1880,BHR1
Frankfurter,Lazar,1830,1874,BHR1
Frankfurter,Menachem-Mendel,1742,1823,BHR1
Frankfurter,Moses Levi,1764,1828,BHR1
Frankfurter,Naphthali,1810,1866,BHR1
Frankl,Joel. ,,,BHR1
Freie,Abraham. ,,,BHR1
Freimann,Israel Meir,1830,1884,BHR1
Frenkel,Meyer,1813,1879,BHR1
Frensdorf,Uri-Feis,,1802,BHR1
Frensdorff,Aron Salman Moses,,1796,BHR1
Frensdorff,Jakob,1792,1861,BHR1
Frensdorff,Michael,,1810,BHR1
Frensdorff,Salman,1803,1880,BHR1
Freund,Abraham. ,,,BHR1
Freund,Jonas. ,,,BHR1
Freund,Löb (hebr. Juda-L.),1768,1855,BHR1
Freund,Markus,1813,,BHR1
Freund,Abraham Moses. ,,,BHR1
Freund,Moses Israel,1743,1813,BHR1
Freund,Samuel,1794,1881,BHR1
Freund,Salomon Wolf,1820,1905,BHR1
Freund,Siegfried,1829,1915,BHR1
Fried,Benjamin-Wolf. ,,,BHR1
Fried,Eleasar,,1819,BHR1
Fried,Meyer,1800,1859,BHR1
Fried,Salomon,,1830,BHR1
Friedberg,Isaak-Eisik. ,,,BHR1
Friedberg,Löb,,1815,BHR1
Friedberg,Löb,1776,1855,BHR1
Friedberg,Moses,1772,1863,BHR1
Friedberg,Salomon Bär,1756,1822,BHR1
Friedburg,Mordechai Gumpa,1732,1804,BHR1
Friedeberg,Salomon,1824,1894,BHR1
Frieden,Moses,1837,1900,BHR1
Friedenthal,Moses,,1832,BHR1
Friedenthal,Scholem. ,,,BHR1
Friedewald,M. ,,,BHR1
Friedheim,Moses,1757,1826,BHR1
Friedlander,Israel. ,,,BHR1
Friedländer,Joseph,1753,1852,BHR1
Friedländer,Markus Hirsch,1838,1919,BHR1
Friedländer,Michael,1833,1910,BHR1
Friedländer,Michel. ,,,BHR1
Friedländer,Salomon,1824,1860,BHR1
Friedmann,Bernhard,1820,1886,BHR1
Friedmann,Gabriel Hirsch,1805,1863,BHR1
Friedmann,L. A. ,,,BHR1
Friedmann,Meir,1831,1908,BHR1
Friedmann,Moses,1786,1848,BHR1
Friedmann,Samson,,1849,BHR1
Friedmann,Samuel,1752,1817,BHR1
Friedmann,Simon,,,BHR1
Friesenhausen,Abraham,,1819,BHR1
Friesenhausen,David,1758,1828,BHR1
Fritsch,Salomon,1784,1855,BHR1
Fröhlich,Wilhelm,1832,1888,BHR1
Fromm,Seligmann,1822,1898,BHR1
Fuchs,Joel. ,,,BHR1
Fuchs,Saul,,1795,BHR1
Fuld,Aron,1790,1847,BHR1
Fulda,Joseph Jacob,1757,1833,BHR1
Fürst,Julius,1826,1899,BHR1
Fürst,Salomon,1799,1870,BHR1
Fürth,Abraham Löw,1762,1832,BHR1
Fürth,Elchanan-Henle,,1802,BHR1
Fürth,Israel-Isserl,1802,1874,BHR1
Fürth,Josef. ,,,BHR1
Fürth,Lazar,1785,,BHR1
Fürth,Markus,1790,1868,BHR1
Fürth,Nesanel,,1786,BHR1
Fürth,Samuel,,1786,BHR1
Fürther,Moses,,1785,BHR1
Gabriel,Löw,1752,,BHR1
Gabrielowitz,Israel,1810,1887,BHR1
Gamaliel b. Gamaliel,,,1830,BHR1
Gans,I. G. ,,,BHR1
Gaon,Nathan. ,,,BHR1
Gebhardt,Julius,1810,1885,BHR1
Gedalia b. Arje-Levin,,,1793,BHR1
Gedalia,Abraham,1752,1827,BHR1
Geiger,Abraham,1810,1874,BHR1
Geismar,David,1800,1887,BHR1
Geldern,Michael von,1736,1824,BHR1
Gensel,Sander. ,,,BHR1
Gerau,Lippmann Herz,1752,1829,BHR1
Gersfeld,Jakob-Joseph,,1814,BHR1
Gersfeld,Liebmann,1808,1876,BHR1
Gersten,Naum. ,,,BHR1
Gläser,Heschel,,1854,BHR1
Glaser,Jakob. ,,,BHR1
Gläser,Leopold. ,,,BHR1
Glogau,Ascher-Lemmel,1705,1789,BHR1
Glogau,Jecheskel,,1821,BHR1
Glogau,Josef,,1814,BHR1
Glogau,Löb,1789,1856,BHR1
Glogau,Maier,1770,1829,BHR1
Glogau,Michl,1740,1818,BHR1
Glogau,Moses,,1834,BHR1
Glück,Jacob Akiba,1838,1904,BHR1
Glück,Löb (hebr. Juda-L.),1740,1809,BHR1
Glückmann,David,,1851,BHR1
Goldberg,Jakob Moses,,1861,BHR1
Goldberg,Menachem. ,,,BHR1
Goldmann,Benedikt,,,BHR1
Goldmann,Eisik Gerson,,1831,BHR1
Goldmann,Isak. ,,,BHR1
Goldmann,Moses-Moritz,1804,,BHR1
Goldmann,Philipp,1808,1894,BHR1
Goldscheider,Salomon,1750,1842,BHR1
Goldscheider,Samuel,1786,,BHR1
Goldschmidt,Abraham Meyer,1812,1889,BHR1
Goldschmidt,Isaak Fischel. ,,,BHR1
Goldschmidt,Israel,1788,,BHR1
Goldschmidt,Löbel(hebr. Juda-L.),1751,1832,BHR1
Goldschmidt,Pessach,5559-1798,1874,BHR1
Goldschmidt,Salomon,1817,1897,BHR1
Goldschmidt,Salomon,1837,1927,BHR1
Goldschmidt,Wolf,,1831,BHR1
Goldschmied,Esriel-Israel,,1858,BHR1
Goldstaub,Elieser-Lipmann,,1881,BHR1
Goldstein,Moritz,1821,1853,BHR1
Gosen,Moses,1780,1862,BHR1
Gottheil,Gustav,1827,1903,BHR1
Gottheimer,J. ,,,BHR1
Gotthelf,Nochem Jakob,,1852,BHR1
Göttingen,Hirsch (hebr. Naftali-H.),1743,1837,BHR1
Gottlieb-Joez b. Mosche,,1815,1873,BHR1
Gottstein,Marcus,1821,1887,BHR1
Goudechaux,Seligmann,1770,1849,BHR1
Gradenwitz,Menachem-Mendel,,1792,BHR1
Gradenwitz,Raphael. ,,,BHR1
Gräditz,Jakob,,1822,BHR1
Graf,Salomon. ,,,BHR1
Greiff,Joseph-Jaßmann,1748,1827,BHR1
Greiffenhagen,Gerson. ,,,BHR1
Greiffenhagen,Moses J. ,,,BHR1
Greilsheimer,Joel Nathan. ,,,BHR1
Grieger,Aron,1819,,BHR1
Gross,Heinrich,1835,1910,BHR1
Gross,M. ,,,BHR1
Grossmann,Ignaz,1825,1897,BHR1
Grossmann,N. ,,,BHR1
Grün,Aron Jakob Halevi. ,,,BHR1
Grünbaum,Aron Bär,1812,1893,BHR1
Grünebaum,Elias,1807,1893,BHR1
Grünfeld,Abraham,1800,1877,BHR1
Grünhut,Thomas. ,,,BHR1
Grünwald,Jakob. ,,,BHR1
Grünwald,Seligmann,1800,1856,BHR1
Güdemann,Moritz,1835,1918,BHR1
Gugenheimer,Aaron,1793,1872,BHR1
Gugenheimer,Joseph,,1828-1831,BHR1
Guggenheimer,Joseph,1831,1896,BHR1
Güldenstein,Michael,1814,1861,BHR1
Gumpertz,Abraham,,1785,BHR1
Gundelfinger,Naftali. ,,,BHR1
Gundersheim,Hayum,,1795,BHR1
Gundersheim,Senior Süßkind Löb,1730,1802,BHR1
Günsberg,Raphael Seew. ,,,BHR1
Günsburger,David. ,,,BHR1
Günsburger,Joseph-Josle,1757,1842,BHR1
Günzburg,Aaron,1808,1868,BHR1
Günzburg,David,,1841,BHR1
Günzburg,Jakob,1743,1815,BHR1
Gunzenhausen,Isak. ,,,BHR1
Gunzenhausen,Isak Hirsch,,1881,BHR1
Gunzenhauser,Samson,1830,1893,BHR1
Gutheim,Jakob-Koppel,1817,1886,BHR1
Gutmann,Moses,1805,1862,BHR1
Guttmacher,Elias,1796,1874,BHR1
Guttmacher,Hirsch (hebr. Zwi-H.),1818,1870,BHR1
Gutwirth. ,,,,BHR1
Haas,David Hirsch,1834,1878,BHR1
Haas,Ephraim,1800,1834,BHR1
